"companies_number","companies_name","companies_name_url","companies_code","companies_code_url","companies_category","companies_sector","companies_sector_url"
"235","NORDON MET","https://www.ivalor.com.br/empresas/NORD","NORD3","https://www.ivalor.com.br/empresas/acoes/NORD3","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"236","NORTCQUIMICA","https://www.ivalor.com.br/empresas/NRTQ","NRTQ3","https://www.ivalor.com.br/empresas/acoes/NRTQ3","-","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"237","GRUPO NATURA","https://www.ivalor.com.br/empresas/NTCO","NTCO3","https://www.ivalor.com.br/empresas/acoes/NTCO3","Big Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"238","ODERICH","https://www.ivalor.com.br/empresas/ODER","ODER4","https://www.ivalor.com.br/empresas/acoes/ODER4","Nano Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"239","ODONTOPREV","https://www.ivalor.com.br/empresas/ODPV","ODPV3","https://www.ivalor.com.br/empresas/acoes/ODPV3","Mid Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"240","OUROFINO S/A","https://www.ivalor.com.br/empresas/OFSA","OFSA3","https://www.ivalor.com.br/empresas/acoes/OFSA3","Small Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"241","OI","https://www.ivalor.com.br/empresas/OIBR","OIBR4","https://www.ivalor.com.br/empresas/acoes/OIBR4","Mid Cap","Comunicações","https://www.ivalor.com.br/empresas/listagem?setor=35"
"242","OMEGA GER","https://www.ivalor.com.br/empresas/OMGE","OMGE3","https://www.ivalor.com.br/empresas/acoes/OMGE3","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"243","OSX BRASIL","https://www.ivalor.com.br/empresas/OSXB","OSXB3","https://www.ivalor.com.br/empresas/acoes/OSXB3","Nano Cap","Petróleo. Gás e Biocombustíveis","https://www.ivalor.com.br/empresas/listagem?setor=30"
"244","PACIFIC RDSL","https://www.ivalor.com.br/empresas/PACF","PACF3","https://www.ivalor.com.br/empresas/acoes/PACF3","-","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"245","IHPARDINI","https://www.ivalor.com.br/empresas/PARD","PARD3","https://www.ivalor.com.br/empresas/acoes/PARD3","Small Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"246","PANATLANTICA","https://www.ivalor.com.br/empresas/PATI","PATI4","https://www.ivalor.com.br/empresas/acoes/PATI4","Micro Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"247","P.ACUCAR-CBD","https://www.ivalor.com.br/empresas/PCAR","PCAR3","https://www.ivalor.com.br/empresas/acoes/PCAR3","Mid Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"248","PDG REALT","https://www.ivalor.com.br/empresas/PDGR","PDGR3","https://www.ivalor.com.br/empresas/acoes/PDGR3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"249","PADTEC","https://www.ivalor.com.br/empresas/PDTC","PDTC3","https://www.ivalor.com.br/empresas/acoes/PDTC3","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"250","PAR AL BAHIA","https://www.ivalor.com.br/empresas/PEAB","PEAB4","https://www.ivalor.com.br/empresas/acoes/PEAB4","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"251","PETROBRAS","https://www.ivalor.com.br/empresas/PETR","PETR4","https://www.ivalor.com.br/empresas/acoes/PETR4","Mega Cap","Petróleo. Gás e Biocombustíveis","https://www.ivalor.com.br/empresas/listagem?setor=30"
"252","PETZ","https://www.ivalor.com.br/empresas/PETZ","PETZ3","https://www.ivalor.com.br/empresas/acoes/PETZ3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"253","PROFARMA","https://www.ivalor.com.br/empresas/PFRM","PFRM3","https://www.ivalor.com.br/empresas/acoes/PFRM3","Micro Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"254","PAGUE MENOS","https://www.ivalor.com.br/empresas/PGMN","PGMN3","https://www.ivalor.com.br/empresas/acoes/PGMN3","Small Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"255","PINE","https://www.ivalor.com.br/empresas/PINE","PINE4","https://www.ivalor.com.br/empresas/acoes/PINE4","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"256","PLASCAR PART","https://www.ivalor.com.br/empresas/PLAS","PLAS3","https://www.ivalor.com.br/empresas/acoes/PLAS3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"257","PARANAPANEMA","https://www.ivalor.com.br/empresas/PMAM","PMAM3","https://www.ivalor.com.br/empresas/acoes/PMAM3","Micro Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"258","DIMED","https://www.ivalor.com.br/empresas/PNVL","PNVL4","https://www.ivalor.com.br/empresas/acoes/PNVL4","Small Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"259","MARCOPOLO","https://www.ivalor.com.br/empresas/POMO","POMO4","https://www.ivalor.com.br/empresas/acoes/POMO4","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"260","POSITIVO TEC","https://www.ivalor.com.br/empresas/POSI","POSI3","https://www.ivalor.com.br/empresas/acoes/POSI3","Micro Cap","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"261","POLPAR","https://www.ivalor.com.br/empresas/PPAR","PPAR3","https://www.ivalor.com.br/empresas/acoes/PPAR3","Nano Cap","Outros","https://www.ivalor.com.br/empresas/listagem?setor=34"
"262","PPLA","https://www.ivalor.com.br/empresas/PPLA","PPLA11","https://www.ivalor.com.br/empresas/acoes/PPLA11","Nano Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"263","PETRORIO","https://www.ivalor.com.br/empresas/PRIO","PRIO3","https://www.ivalor.com.br/empresas/acoes/PRIO3","Small Cap","Petróleo. Gás e Biocombustíveis","https://www.ivalor.com.br/empresas/listagem?setor=30"
"264","PRINER","https://www.ivalor.com.br/empresas/PRNR","PRNR3","https://www.ivalor.com.br/empresas/acoes/PRNR3","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"265","PORTO SEGURO","https://www.ivalor.com.br/empresas/PSSA","PSSA3","https://www.ivalor.com.br/empresas/acoes/PSSA3","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"266","PORTOBELLO","https://www.ivalor.com.br/empresas/PTBL","PTBL3","https://www.ivalor.com.br/empresas/acoes/PTBL3","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"267","PRATICA","https://www.ivalor.com.br/empresas/PTCA","PTCA3","https://www.ivalor.com.br/empresas/acoes/PTCA3","-","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"268","PETTENATI","https://www.ivalor.com.br/empresas/PTNT","PTNT4","https://www.ivalor.com.br/empresas/acoes/PTNT4","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"269","QUALICORP","https://www.ivalor.com.br/empresas/QUAL","QUAL3","https://www.ivalor.com.br/empresas/acoes/QUAL3","Mid Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"270","QUALITY SOFT","https://www.ivalor.com.br/empresas/QUSW","QUSW3","https://www.ivalor.com.br/empresas/acoes/QUSW3","-","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"271","RAIADROGASIL","https://www.ivalor.com.br/empresas/RADL","RADL3","https://www.ivalor.com.br/empresas/acoes/RADL3","Big Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"272","RUMO S.A.","https://www.ivalor.com.br/empresas/RAIL","RAIL3","https://www.ivalor.com.br/empresas/acoes/RAIL3","Big Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"273","IRANI","https://www.ivalor.com.br/empresas/RANI","RANI4","https://www.ivalor.com.br/empresas/acoes/RANI4","Small Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"274","RANDON PART","https://www.ivalor.com.br/empresas/RAPT","RAPT4","https://www.ivalor.com.br/empresas/acoes/RAPT4","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"275","RECRUSUL","https://www.ivalor.com.br/empresas/RCSL","RCSL4","https://www.ivalor.com.br/empresas/acoes/RCSL4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"276","RNI","https://www.ivalor.com.br/empresas/RDNI","RDNI3","https://www.ivalor.com.br/empresas/acoes/RDNI3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"277","REDE ENERGIA","https://www.ivalor.com.br/empresas/REDE","REDE3","https://www.ivalor.com.br/empresas/acoes/REDE3","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"278","LOCALIZA","https://www.ivalor.com.br/empresas/RENT","RENT3","https://www.ivalor.com.br/empresas/acoes/RENT3","Big Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"279","COSAN LOG","https://www.ivalor.com.br/empresas/RLOG","RLOG3","https://www.ivalor.com.br/empresas/acoes/RLOG3","Mid Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"280","RENOVA","https://www.ivalor.com.br/empresas/RNEW","RNEW4","https://www.ivalor.com.br/empresas/acoes/RNEW4","Nano Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"281","INDS ROMI","https://www.ivalor.com.br/empresas/ROMI","ROMI3","https://www.ivalor.com.br/empresas/acoes/ROMI3","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"282","ALFA HOLDING","https://www.ivalor.com.br/empresas/RPAD","RPAD6","https://www.ivalor.com.br/empresas/acoes/RPAD6","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"283","PET MANGUINH","https://www.ivalor.com.br/empresas/RPMG","RPMG3","https://www.ivalor.com.br/empresas/acoes/RPMG3","Nano Cap","Petróleo. Gás e Biocombustíveis","https://www.ivalor.com.br/empresas/listagem?setor=30"
"284","ROSSI RESID","https://www.ivalor.com.br/empresas/RSID","RSID3","https://www.ivalor.com.br/empresas/acoes/RSID3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"285","RIOSULENSE","https://www.ivalor.com.br/empresas/RSUL","RSUL4","https://www.ivalor.com.br/empresas/acoes/RSUL4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"286","SANTANDER BR","https://www.ivalor.com.br/empresas/SANB","SANB4","https://www.ivalor.com.br/empresas/acoes/SANB4","Big Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"287","SANEPAR","https://www.ivalor.com.br/empresas/SAPR","SAPR4","https://www.ivalor.com.br/empresas/acoes/SAPR4","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"288","SABESP","https://www.ivalor.com.br/empresas/SBSP","SBSP3","https://www.ivalor.com.br/empresas/acoes/SBSP3","Big Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"289","SAO CARLOS","https://www.ivalor.com.br/empresas/SCAR","SCAR3","https://www.ivalor.com.br/empresas/acoes/SCAR3","Small Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"290","SOMOS EDUCA","https://www.ivalor.com.br/empresas/SEDU","SEDU3","https://www.ivalor.com.br/empresas/acoes/SEDU3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"291","SER EDUCA","https://www.ivalor.com.br/empresas/SEER","SEER3","https://www.ivalor.com.br/empresas/acoes/SEER3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"292","SPRINGS","https://www.ivalor.com.br/empresas/SGPS","SGPS3","https://www.ivalor.com.br/empresas/acoes/SGPS3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"293","TIME FOR FUN","https://www.ivalor.com.br/empresas/SHOW","SHOW3","https://www.ivalor.com.br/empresas/acoes/SHOW3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"294","SCHULZ","https://www.ivalor.com.br/empresas/SHUL","SHUL4","https://www.ivalor.com.br/empresas/acoes/SHUL4","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"295","SIMPAR","https://www.ivalor.com.br/empresas/SIMH","SIMH3","https://www.ivalor.com.br/empresas/acoes/SIMH3","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"296","SLC AGRICOLA","https://www.ivalor.com.br/empresas/SLCE","SLCE3","https://www.ivalor.com.br/empresas/acoes/SLCE3","Mid Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"297","SARAIVA LIVR","https://www.ivalor.com.br/empresas/SLED","SLED4","https://www.ivalor.com.br/empresas/acoes/SLED4","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"298","SMART FIT","https://www.ivalor.com.br/empresas/SMFT","SMFT3","https://www.ivalor.com.br/empresas/acoes/SMFT3","-","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"299","SMILES","https://www.ivalor.com.br/empresas/SMLS","SMLS3","https://www.ivalor.com.br/empresas/acoes/SMLS3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"300","SAO MARTINHO","https://www.ivalor.com.br/empresas/SMTO","SMTO3","https://www.ivalor.com.br/empresas/acoes/SMTO3","Mid Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"301","SANSUY","https://www.ivalor.com.br/empresas/SNSY","SNSY6","https://www.ivalor.com.br/empresas/acoes/SNSY6","Nano Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"302","GRUPO SOMA","https://www.ivalor.com.br/empresas/SOMA","SOMA3","https://www.ivalor.com.br/empresas/acoes/SOMA3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"303","SONDOTECNICA","https://www.ivalor.com.br/empresas/SOND","SOND6","https://www.ivalor.com.br/empresas/acoes/SOND6","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"304","SPRINGER","https://www.ivalor.com.br/empresas/SPRI","SPRI6","https://www.ivalor.com.br/empresas/acoes/SPRI6","Nano Cap","Financeiro e Outros","https://www.ivalor.com.br/empresas/listagem?setor=1"
"305","SINQIA","https://www.ivalor.com.br/empresas/SQIA","SQIA3","https://www.ivalor.com.br/empresas/acoes/SQIA3","Small Cap","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"306","SANTOS BRP","https://www.ivalor.com.br/empresas/STBP","STBP3","https://www.ivalor.com.br/empresas/acoes/STBP3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"307","STATKRAFT","https://www.ivalor.com.br/empresas/STKF","STKF3","https://www.ivalor.com.br/empresas/acoes/STKF3","-","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"308","STARA","https://www.ivalor.com.br/empresas/STTR","STTR3","https://www.ivalor.com.br/empresas/acoes/STTR3","-","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"309","SUL AMERICA","https://www.ivalor.com.br/empresas/SULA","SULA4","https://www.ivalor.com.br/empresas/acoes/SULA4","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"310","SUZANO S.A.","https://www.ivalor.com.br/empresas/SUZB","SUZB3","https://www.ivalor.com.br/empresas/acoes/SUZB3","Big Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"311","TAESA","https://www.ivalor.com.br/empresas/TAEE","TAEE4","https://www.ivalor.com.br/empresas/acoes/TAEE4","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"312","TAURUS ARMAS","https://www.ivalor.com.br/empresas/TASA","TASA4","https://www.ivalor.com.br/empresas/acoes/TASA4","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"313","TECNOSOLO","https://www.ivalor.com.br/empresas/TCNO","TCNO4","https://www.ivalor.com.br/empresas/acoes/TCNO4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"314","TECNISA","https://www.ivalor.com.br/empresas/TCSA","TCSA3","https://www.ivalor.com.br/empresas/acoes/TCSA3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"315","TECHNOS","https://www.ivalor.com.br/empresas/TECN","TECN3","https://www.ivalor.com.br/empresas/acoes/TECN3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"316","TEKA","https://www.ivalor.com.br/empresas/TEKA","TEKA4","https://www.ivalor.com.br/empresas/acoes/TEKA4","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"317","TELEBRAS","https://www.ivalor.com.br/empresas/TELB","TELB4","https://www.ivalor.com.br/empresas/acoes/TELB4","Mid Cap","Comunicações","https://www.ivalor.com.br/empresas/listagem?setor=35"
"318","TENDA","https://www.ivalor.com.br/empresas/TEND","TEND3","https://www.ivalor.com.br/empresas/acoes/TEND3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"319","TERRA SANTA","https://www.ivalor.com.br/empresas/TESA","TESA3","https://www.ivalor.com.br/empresas/acoes/TESA3","Micro Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"320","TEGMA","https://www.ivalor.com.br/empresas/TGMA","TGMA3","https://www.ivalor.com.br/empresas/acoes/TGMA3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"321","AES TIETE E","https://www.ivalor.com.br/empresas/TIET","TIET4","https://www.ivalor.com.br/empresas/acoes/TIET4","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"322","TIM PART S/A","https://www.ivalor.com.br/empresas/TIMP","TIMP3","https://www.ivalor.com.br/empresas/acoes/TIMP3","Big Cap","Comunicações","https://www.ivalor.com.br/empresas/listagem?setor=35"
"323","TEKNO","https://www.ivalor.com.br/empresas/TKNO","TKNO4","https://www.ivalor.com.br/empresas/acoes/TKNO4","Nano Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"324","TOTVS","https://www.ivalor.com.br/empresas/TOTS","TOTS3","https://www.ivalor.com.br/empresas/acoes/TOTS3","Mid Cap","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"325","TECTOY","https://www.ivalor.com.br/empresas/TOYB","TOYB4","https://www.ivalor.com.br/empresas/acoes/TOYB4","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"326","TRIUNFO PART","https://www.ivalor.com.br/empresas/TPIS","TPIS3","https://www.ivalor.com.br/empresas/acoes/TPIS3","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"327","TRISUL","https://www.ivalor.com.br/empresas/TRIS","TRIS3","https://www.ivalor.com.br/empresas/acoes/TRIS3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"328","TRAN PAULIST","https://www.ivalor.com.br/empresas/TRPL","TRPL4","https://www.ivalor.com.br/empresas/acoes/TRPL4","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"329","TARPON INV","https://www.ivalor.com.br/empresas/TRPN","TRPN3","https://www.ivalor.com.br/empresas/acoes/TRPN3","Nano Cap","Financeiro e Outros","https://www.ivalor.com.br/empresas/listagem?setor=1"
"330","TUPY","https://www.ivalor.com.br/empresas/TUPY","TUPY3","https://www.ivalor.com.br/empresas/acoes/TUPY3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"331","UNICASA","https://www.ivalor.com.br/empresas/UCAS","UCAS3","https://www.ivalor.com.br/empresas/acoes/UCAS3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"332","ULTRAPAR","https://www.ivalor.com.br/empresas/UGPA","UGPA3","https://www.ivalor.com.br/empresas/acoes/UGPA3","Mid Cap","Petróleo. Gás e Biocombustíveis","https://www.ivalor.com.br/empresas/listagem?setor=30"
"333","UNIPAR","https://www.ivalor.com.br/empresas/UNIP","UNIP6","https://www.ivalor.com.br/empresas/acoes/UNIP6","Small Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"334","USIMINAS","https://www.ivalor.com.br/empresas/USIM","USIM6","https://www.ivalor.com.br/empresas/acoes/USIM6","Mid Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"335","VALE","https://www.ivalor.com.br/empresas/VALE","VALE3","https://www.ivalor.com.br/empresas/acoes/VALE3","Mega Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"336","VIVARA S.A.","https://www.ivalor.com.br/empresas/VIVA","VIVA3","https://www.ivalor.com.br/empresas/acoes/VIVA3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"337","VIVER","https://www.ivalor.com.br/empresas/VIVR","VIVR3","https://www.ivalor.com.br/empresas/acoes/VIVR3","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"338","TELEF BRASIL","https://www.ivalor.com.br/empresas/VIVT","VIVT4","https://www.ivalor.com.br/empresas/acoes/VIVT4","Big Cap","Comunicações","https://www.ivalor.com.br/empresas/listagem?setor=35"
"339","VALID","https://www.ivalor.com.br/empresas/VLID","VLID3","https://www.ivalor.com.br/empresas/acoes/VLID3","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"340","FER C ATLANT","https://www.ivalor.com.br/empresas/VSPT","VSPT4","https://www.ivalor.com.br/empresas/acoes/VSPT4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"341","VULCABRAS","https://www.ivalor.com.br/empresas/VULC","VULC3","https://www.ivalor.com.br/empresas/acoes/VULC3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"342","VIAVAREJO","https://www.ivalor.com.br/empresas/VVAR","VVAR3","https://www.ivalor.com.br/empresas/acoes/VVAR3","Big Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"343","WEG","https://www.ivalor.com.br/empresas/WEGE","WEGE3","https://www.ivalor.com.br/empresas/acoes/WEGE3","Mega Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"344","WHIRLPOOL","https://www.ivalor.com.br/empresas/WHRL","WHRL4","https://www.ivalor.com.br/empresas/acoes/WHRL4","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"345","WIZ S.A.","https://www.ivalor.com.br/empresas/WIZS","WIZS3","https://www.ivalor.com.br/empresas/acoes/WIZS3","Small Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"346","WLM IND COM","https://www.ivalor.com.br/empresas/WLMM","WLMM4","https://www.ivalor.com.br/empresas/acoes/WLMM4","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"347","WILSON SONS","https://www.ivalor.com.br/empresas/WSON","WSON33","https://www.ivalor.com.br/empresas/acoes/WSON33","-","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"348","YDUQS PART","https://www.ivalor.com.br/empresas/YDUQ","YDUQ3","https://www.ivalor.com.br/empresas/acoes/YDUQ3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
