"companies_number","companies_name","companies_name_url","companies_code","companies_code_url","companies_category","companies_sector","companies_sector_url"
"137","EUCATEX","https://www.ivalor.com.br/empresas/EUCA","EUCA4","https://www.ivalor.com.br/empresas/acoes/EUCA4","Small Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"138","EVEN","https://www.ivalor.com.br/empresas/EVEN","EVEN3","https://www.ivalor.com.br/empresas/acoes/EVEN3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"139","EZTEC","https://www.ivalor.com.br/empresas/EZTC","EZTC3","https://www.ivalor.com.br/empresas/acoes/EZTC3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"140","FERBASA","https://www.ivalor.com.br/empresas/FESA","FESA4","https://www.ivalor.com.br/empresas/acoes/FESA4","Small Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"141","FER HERINGER","https://www.ivalor.com.br/empresas/FHER","FHER3","https://www.ivalor.com.br/empresas/acoes/FHER3","Nano Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"142","INVEST BEMGE","https://www.ivalor.com.br/empresas/FIGE","FIGE4","https://www.ivalor.com.br/empresas/acoes/FIGE4","Nano Cap","Outros","https://www.ivalor.com.br/empresas/listagem?setor=34"
"143","FLEX S/A","https://www.ivalor.com.br/empresas/FLEX","FLEX3","https://www.ivalor.com.br/empresas/acoes/FLEX3","-","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"144","FLEURY","https://www.ivalor.com.br/empresas/FLRY","FLRY3","https://www.ivalor.com.br/empresas/acoes/FLRY3","Mid Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"145","FINANSINOS","https://www.ivalor.com.br/empresas/FNCN","FNCN3","https://www.ivalor.com.br/empresas/acoes/FNCN3","-","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"146","FRAS-LE","https://www.ivalor.com.br/empresas/FRAS","FRAS3","https://www.ivalor.com.br/empresas/acoes/FRAS3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"147","METALFRIO","https://www.ivalor.com.br/empresas/FRIO","FRIO3","https://www.ivalor.com.br/empresas/acoes/FRIO3","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"148","POMIFRUTAS","https://www.ivalor.com.br/empresas/FRTA","FRTA3","https://www.ivalor.com.br/empresas/acoes/FRTA3","Nano Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"149","BIOTOSCANA","https://www.ivalor.com.br/empresas/GBIO","GBIO33","https://www.ivalor.com.br/empresas/acoes/GBIO33","-","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"150","GER PARANAP","https://www.ivalor.com.br/empresas/GEPA","GEPA4","https://www.ivalor.com.br/empresas/acoes/GEPA4","Small Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"151","GAFISA","https://www.ivalor.com.br/empresas/GFSA","GFSA3","https://www.ivalor.com.br/empresas/acoes/GFSA3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"152","GERDAU","https://www.ivalor.com.br/empresas/GGBR","GGBR4","https://www.ivalor.com.br/empresas/acoes/GGBR4","Big Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"153","INTERMEDICA","https://www.ivalor.com.br/empresas/GNDI","GNDI3","https://www.ivalor.com.br/empresas/acoes/GNDI3","Big Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"154","GERDAU MET","https://www.ivalor.com.br/empresas/GOAU","GOAU4","https://www.ivalor.com.br/empresas/acoes/GOAU4","Mid Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"155","GOL","https://www.ivalor.com.br/empresas/GOLL","GOLL4","https://www.ivalor.com.br/empresas/acoes/GOLL4","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"156","CELGPAR","https://www.ivalor.com.br/empresas/GPAR","GPAR3","https://www.ivalor.com.br/empresas/acoes/GPAR3","Small Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"157","GPC PART","https://www.ivalor.com.br/empresas/GPCP","GPCP4","https://www.ivalor.com.br/empresas/acoes/GPCP4","Micro Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"158","GP INVEST","https://www.ivalor.com.br/empresas/GPIV","GPIV33","https://www.ivalor.com.br/empresas/acoes/GPIV33","-","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"159","GRENDENE","https://www.ivalor.com.br/empresas/GRND","GRND3","https://www.ivalor.com.br/empresas/acoes/GRND3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"160","GENERALSHOPP","https://www.ivalor.com.br/empresas/GSHP","GSHP3","https://www.ivalor.com.br/empresas/acoes/GSHP3","Nano Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"161","GUARARAPES","https://www.ivalor.com.br/empresas/GUAR","GUAR3","https://www.ivalor.com.br/empresas/acoes/GUAR3","Mid Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"162","HAGA S/A","https://www.ivalor.com.br/empresas/HAGA","HAGA4","https://www.ivalor.com.br/empresas/acoes/HAGA4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"163","HAPVIDA","https://www.ivalor.com.br/empresas/HAPV","HAPV3","https://www.ivalor.com.br/empresas/acoes/HAPV3","Big Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"164","HELBOR","https://www.ivalor.com.br/empresas/HBOR","HBOR3","https://www.ivalor.com.br/empresas/acoes/HBOR3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"165","HABITASUL","https://www.ivalor.com.br/empresas/HBTS","HBTS6","https://www.ivalor.com.br/empresas/acoes/HBTS6","Nano Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"166","BR HOME","https://www.ivalor.com.br/empresas/HCBR","HCBR3","https://www.ivalor.com.br/empresas/acoes/HCBR3","-","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"167","HERCULES","https://www.ivalor.com.br/empresas/HETA","HETA4","https://www.ivalor.com.br/empresas/acoes/HETA4","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"168","CIA HERING","https://www.ivalor.com.br/empresas/HGTX","HGTX3","https://www.ivalor.com.br/empresas/acoes/HGTX3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"169","HOTEIS OTHON","https://www.ivalor.com.br/empresas/HOOT","HOOT4","https://www.ivalor.com.br/empresas/acoes/HOOT4","Nano Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"170","HYPERA","https://www.ivalor.com.br/empresas/HYPE","HYPE3","https://www.ivalor.com.br/empresas/acoes/HYPE3","Mid Cap","Saúde","https://www.ivalor.com.br/empresas/listagem?setor=23"
"171","INDUSVAL","https://www.ivalor.com.br/empresas/IDVL","IDVL4","https://www.ivalor.com.br/empresas/acoes/IDVL4","Micro Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"172","IGB S/A","https://www.ivalor.com.br/empresas/IGBR","IGBR3","https://www.ivalor.com.br/empresas/acoes/IGBR3","Nano Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"173","IGUA SA","https://www.ivalor.com.br/empresas/IGSN","IGSN3","https://www.ivalor.com.br/empresas/acoes/IGSN3","-","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
"174","IGUATEMI","https://www.ivalor.com.br/empresas/IGTA","IGTA3","https://www.ivalor.com.br/empresas/acoes/IGTA3","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"175","INEPAR","https://www.ivalor.com.br/empresas/INEP","INEP4","https://www.ivalor.com.br/empresas/acoes/INEP4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"176","INTER SA","https://www.ivalor.com.br/empresas/INNT","INNT3","https://www.ivalor.com.br/empresas/acoes/INNT3","-","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"177","IRBBRASIL RE","https://www.ivalor.com.br/empresas/IRBR","IRBR3","https://www.ivalor.com.br/empresas/acoes/IRBR3","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"178","ITAUTEC","https://www.ivalor.com.br/empresas/ITEC","ITEC3","https://www.ivalor.com.br/empresas/acoes/ITEC3","Micro Cap","Tecnologia da Informação","https://www.ivalor.com.br/empresas/listagem?setor=31"
"179","ITAUSA","https://www.ivalor.com.br/empresas/ITSA","ITSA4","https://www.ivalor.com.br/empresas/acoes/ITSA4","Big Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"180","ITAUUNIBANCO","https://www.ivalor.com.br/empresas/ITUB","ITUB4","https://www.ivalor.com.br/empresas/acoes/ITUB4","Mega Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"181","J B DUARTE","https://www.ivalor.com.br/empresas/JBDU","JBDU4","https://www.ivalor.com.br/empresas/acoes/JBDU4","Nano Cap","Outros","https://www.ivalor.com.br/empresas/listagem?setor=34"
"182","JBS","https://www.ivalor.com.br/empresas/JBSS","JBSS3","https://www.ivalor.com.br/empresas/acoes/JBSS3","Big Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"183","JOAO FORTES","https://www.ivalor.com.br/empresas/JFEN","JFEN3","https://www.ivalor.com.br/empresas/acoes/JFEN3","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"184","JHSF PART","https://www.ivalor.com.br/empresas/JHSF","JHSF3","https://www.ivalor.com.br/empresas/acoes/JHSF3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"185","JOSAPAR","https://www.ivalor.com.br/empresas/JOPA","JOPA4","https://www.ivalor.com.br/empresas/acoes/JOPA4","Micro Cap","Consumo não Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=24"
"186","JEREISSATI","https://www.ivalor.com.br/empresas/JPSA","JPSA3","https://www.ivalor.com.br/empresas/acoes/JPSA3","Small Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"187","JSL","https://www.ivalor.com.br/empresas/JSLG","JSLG3","https://www.ivalor.com.br/empresas/acoes/JSLG3","Mid Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"188","KEPLER WEBER","https://www.ivalor.com.br/empresas/KEPL","KEPL3","https://www.ivalor.com.br/empresas/acoes/KEPL3","Small Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"189","KLABIN S/A","https://www.ivalor.com.br/empresas/KLBN","KLBN4","https://www.ivalor.com.br/empresas/acoes/KLBN4","Big Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"190","LOJAS AMERIC","https://www.ivalor.com.br/empresas/LAME","LAME4","https://www.ivalor.com.br/empresas/acoes/LAME4","Big Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"191","LAVVI","https://www.ivalor.com.br/empresas/LAVV","LAVV3","https://www.ivalor.com.br/empresas/acoes/LAVV3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
